Region,ANC_4plus_visits,ANC_first_before_4mo,ANC_BP_measured,ANC_urine_taken,Facility_delivery,Skilled_provider_delivery,Height_below_145cm,Any_anaemia,No_education,Improved_water,Improved_sanitation,Lowest_wealth_quintile,MHVI,Rank,Explanation,MHVI_Correct,Rank_Correct,Vulnerability_Category,Top_Drivers,Top_Drivers_Improved
oti,95.8,71.5,98.8,97.2,97.7,98.3,1.0,47.0,36.4,96.8,30.0,57.0,68.95833333333333,1,"oti is driven by: ANC_BP_measured (98.80), Skilled_provider_delivery (98.30), Facility_delivery (97.70)",0.32536726894502527,8,Medium Vulnerability,"Any_anaemia, Skilled_provider_delivery, Facility_delivery","Lowest_wealth_quintile, Improved_sanitation, Any_anaemia"
volta,95.0,71.7,98.9,98.6,92.8,91.7,0.0,46.3,43.4,97.9,26.9,52.0,67.93333333333332,2,"volta is driven by: ANC_BP_measured (98.90), ANC_urine_taken (98.60), Improved_water (97.90)",0.2800290621333676,12,Low Vulnerability,"ANC_BP_measured, ANC_urine_taken, ANC_first_before_4mo","Improved_sanitation, Lowest_wealth_quintile, No_education"
greater accra,90.7,66.1,96.8,99.4,91.3,92.8,0.3,37.5,16.1,96.8,84.7,8.7,65.10000000000001,3,"greater accra is driven by: ANC_urine_taken (99.40), ANC_BP_measured (96.80), Improved_water (96.80)",0.2136340596819969,13,Low Vulnerability,"Any_anaemia, ANC_first_before_4mo, Skilled_provider_delivery","ANC_BP_measured, ANC_first_before_4mo, ANC_4plus_visits"
ahafo,94.2,71.2,99.4,99.4,90.5,93.8,1.0,43.0,17.2,88.4,67.7,13.9,64.97500000000001,4,"ahafo is driven by: ANC_BP_measured (99.40), ANC_urine_taken (99.40), ANC_4plus_visits (94.20)",0.18011792245633507,16,Low Vulnerability,"ANC_BP_measured, Any_anaemia, ANC_first_before_4mo","Any_anaemia, Improved_water, Facility_delivery"
bono east,91.3,65.1,98.6,98.3,93.1,93.9,0.4,35.6,23.9,83.3,54.2,38.5,64.68333333333332,5,"bono east is driven by: ANC_BP_measured (98.60), ANC_urine_taken (98.30), Skilled_provider_delivery (93.90)",0.3478036942740364,6,Medium Vulnerability,"Improved_sanitation, Lowest_wealth_quintile, Any_anaemia","Lowest_wealth_quintile, Improved_water, Improved_sanitation"
savannah,86.8,66.7,99.4,99.2,84.2,85.2,0.5,40.3,32.7,86.4,57.2,35.5,64.50833333333334,6,"savannah is driven by: ANC_BP_measured (99.40), ANC_urine_taken (99.20), ANC_4plus_visits (86.80)",0.32238576302592886,10,Medium Vulnerability,"Lowest_wealth_quintile, Improved_sanitation, Any_anaemia","Lowest_wealth_quintile, No_education, Skilled_provider_delivery"
northern,91.8,66.5,98.2,98.7,89.7,91.2,0.5,30.1,21.1,92.2,71.3,14.0,63.775000000000006,7,"northern is driven by: ANC_urine_taken (98.70), ANC_BP_measured (98.20), Improved_water (92.20)",0.32920146051707255,7,Medium Vulnerability,"Any_anaemia, ANC_BP_measured, Skilled_provider_delivery","ANC_first_before_4mo, Facility_delivery, Skilled_provider_delivery"
western north,87.3,60.7,94.3,94.2,91.3,92.3,0.2,38.8,10.0,98.5,91.4,2.4,63.449999999999996,8,"western north is driven by: Improved_water (98.50), ANC_BP_measured (94.30), ANC_urine_taken (94.20)",0.32476308188307046,9,Medium Vulnerability,"Improved_sanitation, ANC_4plus_visits, Improved_water","ANC_urine_taken, ANC_BP_measured, ANC_first_before_4mo"
eastern,91.6,68.6,95.0,96.2,84.1,85.4,0.5,45.9,17.7,94.3,72.6,9.0,63.40833333333333,9,"eastern is driven by: ANC_urine_taken (96.20), ANC_BP_measured (95.00), Improved_water (94.30)",0.18584241011620967,15,Low Vulnerability,"Any_anaemia, Improved_sanitation, Improved_water","ANC_BP_measured, Any_anaemia, ANC_urine_taken"
central,91.0,64.8,97.9,99.6,89.2,90.1,0.7,37.5,15.7,88.7,74.7,8.2,63.17500000000002,10,"central is driven by: ANC_urine_taken (99.60), ANC_BP_measured (97.90), ANC_4plus_visits (91.00)",0.6498810321304612,4,High Vulnerability,"Facility_delivery, Skilled_provider_delivery, Any_anaemia","ANC_first_before_4mo, Improved_water, Skilled_provider_delivery"
western,88.8,64.7,96.4,98.7,82.5,84.0,0.2,44.4,19.8,91.8,72.0,9.1,62.699999999999996,11,"western is driven by: ANC_urine_taken (98.70), ANC_BP_measured (96.40), Improved_water (91.80)",0.28580965440564854,11,Medium Vulnerability,"Lowest_wealth_quintile, Improved_sanitation, Improved_water","Any_anaemia, Skilled_provider_delivery, Facility_delivery"
ashanti,86.2,66.5,96.9,98.3,87.9,89.4,0.9,36.3,20.9,83.4,51.7,20.3,61.558333333333316,12,"ashanti is driven by: ANC_urine_taken (98.30), ANC_BP_measured (96.90), Skilled_provider_delivery (89.40)",0.1891104773831921,14,Low Vulnerability,"Improved_sanitation, Facility_delivery, Skilled_provider_delivery","ANC_4plus_visits, Improved_sanitation, Improved_water"
upper west,79.8,61.1,94.6,91.6,82.6,83.4,0.3,45.0,53.8,59.3,21.9,64.1,61.458333333333336,13,"upper west is driven by: ANC_BP_measured (94.60), ANC_urine_taken (91.60), Skilled_provider_delivery (83.40)",0.35260230791613106,5,High Vulnerability,"Lowest_wealth_quintile, Improved_sanitation, No_education","ANC_urine_taken, Improved_water, Lowest_wealth_quintile"
upper east,73.9,57.0,93.5,94.1,71.0,73.1,0.8,43.2,56.7,61.9,26.5,55.2,58.90833333333334,14,"upper east is driven by: ANC_urine_taken (94.10), ANC_BP_measured (93.50), ANC_4plus_visits (73.90)",0.8614602505291,1,High Vulnerability,"ANC_first_before_4mo, ANC_BP_measured, ANC_urine_taken","ANC_4plus_visits, Improved_water, No_education"
bono,77.1,64.1,97.4,97.5,66.8,69.5,0.2,51.8,35.1,66.9,48.7,30.2,58.775000000000006,15,"bono is driven by: ANC_urine_taken (97.50), ANC_BP_measured (97.40), ANC_4plus_visits (77.10)",0.8395020544620895,2,High Vulnerability,"ANC_4plus_visits, No_education, Improved_sanitation","Facility_delivery, Skilled_provider_delivery, ANC_4plus_visits"
north east,81.2,50.2,92.0,91.8,69.0,70.9,0.6,48.4,51.2,72.0,29.9,43.6,58.400000000000006,16,"north east is driven by: ANC_BP_measured (92.00), ANC_urine_taken (91.80), ANC_4plus_visits (81.20)",0.7729852005152748,3,High Vulnerability,"ANC_urine_taken, Improved_water, Improved_sanitation","ANC_first_before_4mo, ANC_urine_taken, ANC_BP_measured"
